#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     23        23      12        584.40         26.05     980681.37      1.71083      0.56183     1.0000     0.3860     0.3860
     23        23      15        560.85         26.05    1059730.99      2.07188      0.10622     1.0000     0.5110     0.5110
     23        23      18        534.85         26.05    1127422.13      1.69961     -0.35424     1.0000     0.6380     0.6380
     24        24       3        326.08         27.51     384120.60      1.93897      2.40847     1.0000     0.1420     0.1420
     24        24       6        356.56         27.51    1349969.03      0.81034     -1.46885     1.0000     0.8640     0.8640
     24        24       9        365.01         27.51    1270622.63      0.00139     -1.22369     1.0000     0.8210     0.8210
     24        24      12        351.77         27.51    1207271.84      0.27154     -1.04384     1.0000     0.8100     0.8100
     24        24      15        400.07         27.51    1282291.83      0.57751     -1.57462     1.0000     0.9070     0.9070
     24        24      18        413.86         27.51    1205507.19      1.15481     -1.14824     1.0000     0.8460     0.8460
     25        25       3        326.08         16.53     384120.60      1.93897      2.40847     1.0000     0.1410     0.1410
     25        25       6        316.82         16.53    1096919.83      1.31114     -0.28388     1.0000     0.6670     0.6670
     25        25       9        305.22         16.53    1217073.79      0.67734     -0.98626     1.0000     0.8000     0.8000
     25        25      12        337.01         16.53    1151927.44      0.94212     -0.70595     1.0000     0.7690     0.7690
     25        25      15        341.56         16.53    1168815.36      0.51315     -0.88465     1.0000     0.7810     0.7810
     25        25      18        366.07         16.53    1236063.59      1.57265     -1.36621     1.0000     0.8840     0.8840
     26        26       3        460.75        189.73     150116.31      1.46406      3.28543     1.0000     0.0200     0.0200
     26        26       6        456.37        189.73    1065884.87      2.18376     -0.02351     1.0000     0.6170     0.6170
     26        26       9        480.72        189.73    1119135.82      2.40981     -0.31121     1.0000     0.6590     0.6590
     26        26      12        517.46        189.73    1203434.35      1.96166     -0.74762     1.0000     0.7620     0.7620
     26        26      15        494.87        189.73    1097032.04      2.58882     -0.23665     1.0000     0.6160     0.6160
     26        26      18        485.26        189.73    1091670.10      3.25687     -0.21722     1.0000     0.6220     0.6220
     27        27       3        717.49        352.41    1994368.64      1.00613     -3.16985     1.0000     0.9690     0.9690
     27        27       6        588.00        352.41    1370818.58      2.43251     -1.32815     1.0000     0.8440     0.8440
     27        27       9        548.91        352.41    1130425.69      2.86763     -0.28456     1.0000     0.6540     0.6540
     27        27      12        537.43        352.41    1028429.41      2.96079      0.28115     1.0000     0.4610     0.4610
     27        27      15        521.42        352.41    1046426.15      3.11001      0.19174     1.0000     0.4650     0.4650
     27        27      18        526.41        352.41     953319.29      3.44288      0.85111     1.0000     0.2950     0.2950
     28        28       3        372.73         67.51     604091.94      1.07022      1.61373     1.0000     0.2870     0.2870
     28        28       6        373.58         67.51     541524.92      2.21661      2.33691     1.0000     0.0840     0.0840
     28        28       9        329.68         67.51     734851.13      2.64667      1.64459     1.0000     0.1420     0.1420
     28        28      12        363.26         67.51     631646.37      3.09807      2.50090     1.0000     0.0230     0.0230
     28        28      15        321.08         67.51     760267.34      2.70613      1.84268     1.0000     0.0890     0.0890
     28        28      18        317.13         67.51     849755.81      2.79631      1.34126     1.0000     0.1610     0.1610
     29        29       3        372.73        119.66     604091.94      1.07022      1.61373     1.0000     0.2840     0.2840
     29        29       6        394.86        119.66     551198.52      2.13148      2.29197     1.0000     0.0800     0.0800
     29        29       9        411.30        119.66     533601.57      3.00341      2.76551     1.0000     0.0210     0.0210
     29        29      12        400.53        119.66     638598.34      3.19340      2.45880     1.0000     0.0410     0.0410
     29        29      15        384.30        119.66     649704.52      3.62511      2.61499     1.0000     0.0320     0.0320
     29        29      18        392.50        119.66     876469.77      3.16762      1.19892     1.0000     0.1930     0.1930
     30        30       3        387.00        107.42     403501.50      0.89128      2.34866     1.0000     0.1310     0.1310
     30        30       6        367.88        107.42     467907.81      1.62618      2.67892     1.0000     0.0430     0.0430
     30        30       9        326.94        107.42     588411.50      1.95069      2.44351     1.0000     0.0390     0.0390
     30        30      12        333.75        107.42     600812.60      2.14030      2.65872     1.0000     0.0230     0.0230
     30        30      15        319.03        107.42     690245.65      1.95580      2.31012     1.0000     0.0400     0.0400
     30        30      18        323.02        107.42     708495.08      2.66673      2.35695     1.0000     0.0410     0.0410
     31        31       3        489.91         99.83     256547.32      1.28324      2.90144     1.0000     0.0640     0.0640
     31        31       6        433.98         99.83     356743.11      1.83815      3.22069     1.0000     0.0170     0.0170
     31        31       9        397.02         99.83     416017.78      2.34705      3.40195     1.0000     0.0060     0.0060
     31        31      12        442.45         99.83     775320.13      3.21204      1.70242     1.0000     0.1110     0.1110
     31        31      15        406.38         99.83     880568.35      3.20434      1.08598     1.0000     0.2330     0.2330
     31        31      18        380.25         99.83     801592.41      3.62751      1.73305     1.0000     0.1000     0.1000
     32        32       3        489.91         49.47     256547.32      1.28324      2.90144     1.0000     0.0780     0.0780
     32        32       6        434.31         49.47     345429.17      1.76213      3.27245     1.0000     0.0100     0.0100
     32        32       9        429.16         49.47     536396.29      3.03733      2.79474     1.0000     0.0180     0.0180
     32        32      12        408.17         49.47     525942.75      3.33633      3.14115     1.0000     0.0070     0.0070
     32        32      15        364.65         49.47     659149.09      3.10886      2.55244     1.0000     0.0240     0.0240
     32        32      18        398.48         49.47     834472.41      3.80064      1.49850     1.0000     0.1210     0.1210
     33        33       3       1623.18        134.83     379686.97      2.22861      2.54615     1.0000     0.1040     0.1040
     33        33       6       1480.83        134.83     323154.47      3.55450      3.47867     1.0000     0.0050     0.0050
     33        33       9       1367.24        134.83     474110.02      3.93407      3.30503     1.0000     0.0020     0.0020
     33        33      12       1256.89        134.83     555518.00      4.06944      3.23189     1.0000     0.0060     0.0060
     33        33      15       1162.94        134.83     714610.23      3.86947      2.56473     1.0000     0.0200     0.0200
     33        33      18       1080.48        134.83     972502.83      3.12453      1.07029     1.0000     0.2430     0.2430
     34        34       3        618.01        325.28     631789.79      0.64380      1.61051     1.0000     0.2780     0.2780
     34        34       6        607.25        325.28     842106.69      0.99870      1.05575     1.0000     0.3090     0.3090
     34        34       9        621.22        325.28    1108716.49      1.48149     -0.09263     1.0000     0.5740     0.5740
     34        34      12        592.11        325.28    1069739.41      1.47744      0.03830     1.0000     0.5510     0.5510
     34        34      15        600.21        325.28    1156794.64      1.40506     -0.51769     1.0000     0.7070     0.7070
     34        34      18        584.83        325.28    1114449.44      1.90354     -0.26443     1.0000     0.6490     0.6490
     35        35       3        656.59        353.00     119360.78      0.93700      3.40827     1.0000     0.0110     0.0110
     35        35       6        640.36        353.00    1121040.09      1.64117     -0.13433     1.0000     0.5950     0.5950
     35        35       9        632.43        353.00    1071363.41      1.22487      0.10096     1.0000     0.5200     0.5200
     35        35      12        632.26        353.00     976929.98      1.38807      0.66069     1.0000     0.3560     0.3560
     35        35      15        629.05        353.00     994011.88      1.17769      0.61409     1.0000     0.3850     0.3850
     35        35      18        614.30        353.00    1018008.92      0.67010      0.40325     1.0000     0.3990     0.3990
     36        36       3        675.60         61.33     986302.59      0.08749      0.36676     1.0000     0.5350     0.5350
     36        36       6        674.10         61.33     717331.55      0.32574      1.66161     1.0000     0.1730     0.1730
     36        36       9        648.70         61.33     964485.24      1.48790      0.65490     1.0000     0.3640     0.3640
     36        36      12        643.09         61.33     938158.99      1.10444      0.88556     1.0000     0.2880     0.2880
     36        36      15        673.65         61.33     975190.45      0.42387      0.73346     1.0000     0.3610     0.3610
     36        36      18        637.03         61.33    1029163.61      0.18182      0.42131     1.0000     0.4280     0.4280
     37        37       3        569.36          4.94    1682786.03      1.09516     -2.15674     1.0000     0.9020     0.9020
     37        37       6        612.97          4.94    1068934.99      1.71832      0.03301     1.0000     0.5670     0.5670
     37        37       9        632.43          4.94    1071363.41      1.22487      0.10096     1.0000     0.5180     0.5180
     37        37      12        605.68          4.94    1060030.68      1.14236      0.09538     1.0000     0.4920     0.4920
     37        37      15        586.81          4.94    1047813.60      1.76356      0.18282     1.0000     0.4950     0.4950
     37        37      18        558.94          4.94    1112373.67      1.43491     -0.25005     1.0000     0.6500     0.6500
     38        38       3        905.30        128.69     656743.25      0.69055      1.57867     1.0000     0.2860     0.2860
     38        38       6        876.81        128.69     831929.40      0.74669      1.19740     1.0000     0.3020     0.3020
     38        38       9        893.98        128.69     926349.75      0.60607      0.96864     1.0000     0.2800     0.2800
     38        38      12        912.43        128.69     888540.25      0.78313      1.29795     1.0000     0.2000     0.2000
     38        38      15        862.23        128.69     837067.05      0.88450      1.67482     1.0000     0.1000     0.1000
     38        38      18        847.64        128.69     909168.16      1.22923      1.31747     1.0000     0.1610     0.1610
     39        39       3        418.11        108.31     791273.16      1.22182      0.92793     1.0000     0.4400     0.4400
     39        39       6        407.16        108.31     638336.63      2.59038      1.88714     1.0000     0.1300     0.1300
     39        39       9        412.11        108.31     532098.40      3.05318      2.77365     1.0000     0.0230     0.0230
     39        39      12        453.06        108.31     920931.00      3.02622      0.83392     1.0000     0.3200     0.3200
     39        39      15        443.47        108.31     903779.75      3.25984      1.02370     1.0000     0.2510     0.2510
     39        39      18        412.17        108.31     943416.12      3.30453      0.72136     1.0000     0.3210     0.3210
     40        40       3        418.86         27.06     417605.03      1.68892      2.29699     1.0000     0.1560     0.1560
     40        40       6        415.99         27.06     435975.82      2.91525      2.82727     1.0000     0.0290     0.0290
     40        40       9        428.49         27.06     900568.23      2.64927      0.77927     1.0000     0.3640     0.3640
     40        40      12        452.09         27.06    1099798.44      2.74384     -0.23293     1.0000     0.6310     0.6310
     40        40      15        441.02         27.06    1086108.85      2.79368     -0.16541     1.0000     0.6170     0.6170
     40        40      18        387.92         27.06    1037200.96      2.74506      0.05236     1.0000     0.5350     0.5350
     41        41       3        701.17        258.38     340238.05      0.37053      2.63336     1.0000     0.1070     0.1070
     41        41       6        684.69        258.38     682071.99      0.41852      1.81846     1.0000     0.1570     0.1570
     41        41       9        710.20        258.38     658809.76      0.32597      2.23917     1.0000     0.0610     0.0610
     41        41      12        707.43        258.38     728751.10      0.88464      2.10010     1.0000     0.0630     0.0630
     41        41      15        675.31        258.38    1039857.44      0.34691      0.32335     1.0000     0.4430     0.4430
     41        41      18        641.09        258.38    1078879.51      0.28205      0.08172     1.0000     0.5190     0.5190
     42        42       3        338.09         15.48    1333665.07      0.67747     -1.09818     1.0000     0.8180     0.8180
     42        42       6        386.74         15.48    1445409.24      0.48227     -1.86236     1.0000     0.9140     0.9140
     42        42       9        437.50         15.48    1380980.85      1.80416     -1.70682     1.0000     0.9110     0.9110
     42        42      12        457.44         15.48    1210423.32      2.11153     -0.89275     1.0000     0.7810     0.7810
     42        42      15        466.79         15.48    1168506.70      1.90575     -0.70279     1.0000     0.7440     0.7440
     42        42      18        470.22         15.48    1079810.17      1.91736     -0.13391     1.0000     0.5800     0.5800
