#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     45        45      15        517.93        225.00     638066.50      0.14880      1.46506     1.0000     0.1680     0.1680
     45        45      18        512.52        225.00     642192.50      0.51797      1.54000     1.0000     0.1180     0.1180
     46        46       3        872.07         95.97     702861.39      0.31405      0.56712     1.0000     0.5320     0.5320
     46        46       6        775.84         95.97     642093.61      0.07649      1.13692     1.0000     0.2980     0.2980
     46        46       9        826.78         95.97     537995.81      0.39977      2.02642     1.0000     0.0800     0.0800
     46        46      12        861.53         95.97     497661.94      0.46091      2.57200     1.0000     0.0300     0.0300
     46        46      15        841.22         95.97     526049.98      0.76591      2.57812     1.0000     0.0240     0.0240
     46        46      18        863.75         95.97     491982.30      0.88726      3.07954     1.0000     0.0060     0.0060
     47        47       3        826.86        284.84    1157740.26      0.16651     -1.45671     1.0000     0.8780     0.8780
     47        47       6        840.56        284.84     892582.75      0.38818     -0.31266     1.0000     0.6280     0.6280
     47        47       9        805.93        284.84     782473.07      0.74503      0.37811     1.0000     0.4280     0.4280
     47        47      12        803.09        284.84     955032.78      0.21894     -0.87881     1.0000     0.7760     0.7760
     47        47      15        792.89        284.84     846655.48      0.26233     -0.06683     1.0000     0.6160     0.6160
     47        47      18        776.27        284.84     861855.72      0.30880     -0.20704     1.0000     0.5460     0.5460
     48        48       3        880.51        288.72    1006616.28      0.01088     -0.84171     1.0000     0.7900     0.7900
     48        48       6        874.40        288.72     892613.34      0.40122     -0.39684     1.0000     0.6640     0.6640
     48        48       9        906.60        288.72     744396.89      0.76433      0.55321     1.0000     0.3900     0.3900
     48        48      12        863.60        288.72     738989.82      1.33257      0.75121     1.0000     0.3240     0.3240
     48        48      15        801.08        288.72     672007.53      1.19381      1.37399     1.0000     0.1480     0.1480
     48        48      18        807.87        288.72     826754.51      0.85500      0.10486     1.0000     0.5020     0.5020
     49        49       3        644.10        236.73     595662.64      0.29697      1.02177     1.0000     0.4160     0.4160
     49        49       6        601.60        236.73     588650.78      0.12601      1.33750     1.0000     0.2460     0.2460
     49        49       9        554.76        236.73     673672.24      0.48897      0.94864     1.0000     0.3320     0.3320
     49        49      12        568.75        236.73     579843.43      0.45775      1.79492     1.0000     0.1300     0.1300
     49        49      15        585.43        236.73     581485.31      0.97623      1.96771     1.0000     0.0820     0.0820
     49        49      18        576.90        236.73     561923.01      0.84898      2.27885     1.0000     0.0520     0.0520
